"blacklist";"list";"ipv"
"3.134.164.189";"apache";"ipv4"
"3.26.0.19";"apache";"ipv4"
"3.36.93.61";"apache";"ipv4"
"3.80.6.99";"apache";"ipv4"
"3.9.82.182";"apache";"ipv4"
"31.130.202.240";"apache";"ipv4"
"31.223.147.159";"apache";"ipv4"
"31.42.176.112";"apache";"ipv4"
"34.121.251.162";"apache";"ipv4"
"34.125.54.204";"apache";"ipv4"
"34.205.134.197";"apache";"ipv4"
"34.205.89.239";"apache";"ipv4"
"34.71.57.121";"apache";"ipv4"
"34.78.249.119";"apache";"ipv4"
"34.80.136.171";"apache";"ipv4"
"34.84.239.44";"apache";"ipv4"
"34.91.200.180";"apache";"ipv4"
"34.94.247.253";"apache";"ipv4"
"35.167.249.11";"apache";"ipv4"
"35.185.171.106";"apache";"ipv4"
"35.188.119.145";"apache";"ipv4"
"35.194.218.190";"apache";"ipv4"
"35.195.57.216";"apache";"ipv4"
"35.198.227.109";"apache";"ipv4"
"35.198.229.83";"apache";"ipv4"
"35.199.25.131";"apache";"ipv4"
"35.201.246.43";"apache";"ipv4"
"35.205.67.180";"apache";"ipv4"
"35.233.23.228";"apache";"ipv4"
"35.235.65.83";"apache";"ipv4"
"35.242.214.242";"apache";"ipv4"
"35.244.92.208";"apache";"ipv4"
"35.245.73.90";"apache";"ipv4"
"36.100.218.116";"apache";"ipv4"
"36.148.35.198";"apache";"ipv4"
"37.131.54.83";"apache";"ipv4"
"37.187.29.31";"apache";"ipv4"
"37.192.133.108";"apache";"ipv4"
"37.201.194.14";"apache";"ipv4"
"37.49.230.186";"apache";"ipv4"
"38.121.43.104";"apache";"ipv4"
"39.102.33.181";"apache";"ipv4"
"39.106.22.102";"apache";"ipv4"
"39.42.124.22";"apache";"ipv4"
"39.44.245.136";"apache";"ipv4"
"39.44.94.185";"apache";"ipv4"
"40.69.160.139";"apache";"ipv4"
"40.77.167.108";"apache";"ipv4"
"40.77.167.93";"apache";"ipv4"
"41.226.28.88";"apache";"ipv4"
"41.234.204.200";"apache";"ipv4"
"41.42.144.86";"apache";"ipv4"
"43.231.112.127";"apache";"ipv4"
"43.241.66.2";"apache";"ipv4"
"43.249.113.236";"apache";"ipv4"
